priority_rank,priority_group,priority_group_zh,world500_rank,company_id,company_name_en,company_name_zh,readiness_status,readiness_status_zh,readiness_score,readiness_score_max,missing_requirement_count,primary_workstream,primary_workstream_zh,missing_workstreams,missing_workstreams_zh,missing_requirement_keys,missing_requirement_zh,direct_scope_set,scope_candidate_count,scope3_candidate_count,scope3_category_count,next_action_zh,acceptance_note_zh
165,P2_candidate_review,核验候选数值并补证据,320,r320_orange公司,Orange,Orange,candidate_or_partial,候选或部分满足,4,14,10,P1_evidence_extraction,P1 证据抽取与原文追溯,P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P1 证据抽取与原文追溯；P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_method_evidence|has_data_source_or_quality|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,有核算方法/活动/质量证据；有数据来源或数据质量分类；Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；有能耗事实；有经济/成本侧工具事实；目标-基准-进度链完整,Scope 3,0,0,0,优先人工核验候选数值，确认边界、年份、单位、口径和原文页码后提升为直接采信层，再补 Scope 3 15 类、因子、GWP、能耗、经济工具和目标链。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
166,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,39,r039_generalmotors,GENERAL MOTORS,通用汽车公司,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,3,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
167,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,57,r057_hondamotor,HONDA MOTOR,本田汽车,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,5,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
168,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,97,r097_enel,ENEL,意大利国家电力公司,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,10,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
169,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,98,r098_eni,ENI,埃尼石油公司,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,2,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
170,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,107,r107_itochu,ITOCHU,日本伊藤忠商事株式会社,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,1,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
171,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,128,r128_sony,SONY,索尼,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,6,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
172,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,137,r137_royalbankofcanada,ROYAL BANK OF CANADA,加拿大皇家银行,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,1,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
173,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,139,r139_lowes,LOWE'S,美国劳氏公司,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,4,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
174,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,151,r151_sevenandi控股公司,Seven & I Holdings,Seven & I 控股,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,9,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
175,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,164,r164_daiichilifeholdings,DAI-ICHI LIFE HOLDINGS,第一生命控股有限公司,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,8,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
176,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,196,r196_hitachi,HITACHI,日立,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,3,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
177,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,200,r200_bancobilbaovizcayaargentaria,BANCO BILBAO VIZCAYA ARGENTARIA,西班牙对外银行,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,5,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
178,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,273,r273_iberdrola公司,Iberdrola,Iberdrola,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,3,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
179,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,358,r358_omvgroup,OMV GROUP,奥地利石油天然气集团,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,6,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
180,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,368,r368_lyondellbasellindustries,LYONDELLBASELL INDUSTRIES,利安德巴塞尔工业公司,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,6,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
181,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,379,r379_日本kddi电信公司,KDDI,日本KDDI电信,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,1,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
182,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,386,r386_inditex公司,Inditex,Inditex,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,12,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
183,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,416,r416_mitsubishielectric,MITSUBISHI ELECTRIC,三菱电机股份有限公司,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,3,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
184,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,423,r423_daiwahouseindustry,DAIWA HOUSE INDUSTRY,大和房建,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,3,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
185,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,428,r428_jfeholdings,JFE HOLDINGS,日本钢铁工程控股公司,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,7,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
186,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,500,r500_三星candt公司,Samsung C&T,三星C&T,evidence_graph_only,仅事实图谱/证据层,9,14,5,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,0,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
187,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,evidence_graph_only,仅事实图谱/证据层,8,14,6,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；目标-基准-进度链完整,,0,0,0,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
188,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,10,r010_cvshealth公司,CVS Health,CVS Health,evidence_graph_only,仅事实图谱/证据层,8,14,6,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；目标-基准-进度链完整,,0,0,5,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
189,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,32,r032_honhaiprecisionindustry,HON HAI PRECISION INDUSTRY,鸿海精密工业股份有限公司,evidence_graph_only,仅事实图谱/证据层,8,14,6,P1_evidence_extraction,P1 证据抽取与原文追溯,P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P1 证据抽取与原文追溯；P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_data_source_or_quality|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,有数据来源或数据质量分类；Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,,0,0,0,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
190,P3_extract_values_from_matched_reports,从已匹配报告补 Scope 数值,37,r037_bankofchina,BANK OF CHINA,中国银行股份有限公司,evidence_graph_only,仅事实图谱/证据层,8,14,6,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；目标-基准-进度链完整,,0,0,0,先从已匹配报告中抽取 Scope 1/2/3 绝对值、Scope 2 市场法/位置法、Scope 3 类别表，并补数据来源/质量与页码追溯。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
