batch_id,validation_status,technology_id,company_id,company_name_en,world500_rank,project_name_en,measure_name_en,timeline_years,cost_or_investment_en,abatement_effect_en,evidence_page,source_file,snippet_en,decision_reason_en
TECH-COST-P0-0039,review_missing_or_unquantified_cost_evidence,renewable_power,r033_cignagroup,,,Renewable electricity sourcing and EAC procurement,"Sourcing renewable electricity, purchasing Energy Attribute Certificates, and exploring long-term renewable procurement agreements including PPAs and onsite renewables",2022 | 2024 | 2030,Report states strategic investments in building improvements; no quantified renewable-procurement cost is disclosed in this snippet.,Report states Cigna sourced approximately 52% of global power needs from renewable electricity by the end of 2024 and targets 100% renewable electricity by 2030.,50,2024-corporate-impact-report-CIGNA GROUP.pdf,"Cigna reports that it is sourcing renewables and purchasing Energy Attribute Certificates (EACs), committed to sourcing 100% renewable electricity by 2030, joined the global RE100 pledge in 2022, and by the end of 2024 sourced approximately 52% of its global power needs from renewable electricity. The report also states it continues to explore long-term renewable energy procurement agreements, including power purchase agreements and onsite renewables where plausible.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0040,review_missing_or_unquantified_cost_evidence,renewable_power,r208_sumitomomitsuifinancialgroup,,,India wind power and power-supply infrastructure transition finance case,Supporting development of wind power facilities and transmission infrastructure in India through transition finance engagement,2025,Report discloses 46 transition-finance deals executed; individual wind-project financing amount is not disclosed in this snippet.,Report presents wind power and transmission support as renewable-energy expansion and transition finance; quantified project abatement is not disclosed in this snippet.,28,SUMITOMO MITSUI FINANCIAL GROUP sustainability_report_e_2025.pdf,"SMFG's Transition Finance Playbook case studies state that criteria for transition-finance assets are set by region and include India: wind power and power supply infrastructure. The snippet states SMFG is supporting the development of wind power facilities and transmission infrastructure in India, with achievements including 46 deals executed and engagement with 130 companies.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0041,review_missing_or_unquantified_cost_evidence,renewable_power,r440_philipmorrisinternational,,,Zero Carbon Technology initiatives at manufacturing facilities,"Installing heat pumps, e-boilers, hybrid boilers, biomass boilers, and solar panels at five manufacturing facilities",2024,Report describes the Zero Carbon Technology initiatives as climate investments; no quantified capex is disclosed in this snippet.,Report states the initiatives foster renewable-energy transition and emissions reduction across PMI manufacturing sites; quantified CO2e abatement is not disclosed in this snippet.,62,PHILIP MORRIS INTERNATIONAL-integrated-report-2024.pdf,"Philip Morris International reports that through its zero carbon technology initiatives it is fostering the transition to renewable energy and reducing emissions across manufacturing sites. In 2024, this commitment materialized through the installation of heat pumps, e-boilers, hybrid boilers, biomass boilers, and solar panels at five manufacturing facilities.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0042,review_missing_or_unquantified_cost_evidence,renewable_power,r168_torontodominionbank,,,TD Sustainable and Decarbonization Finance eligible renewable-energy category,"Classifying balance-sheet green, social, and sustainability bond purchases and other financing under renewable energy and clean transportation eligible categories",2024,"Report discloses Environment total USD 11.9 billion, including Renewable Energy USD 2.5 billion and Clean Transportation USD 3.2 billion.",Report classifies renewable energy and clean transportation as environmental eligible categories; quantified project CO2e abatement is not disclosed in this snippet.,18,2024-TORONTO-DOMINION BANK-sustainability-report-en.pdf,"TD Bank reports eligible categories for green, social and sustainability bond purchases and other financing during fiscal 2024. The Environment total is USD 11.9 billion, including Renewable Energy USD 2.5 billion, Clean Transportation USD 3.2 billion, Environment Multi-Sector USD 3.5 billion, and Other Environment USD 2.7 billion.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0043,review_missing_or_unquantified_cost_evidence,renewable_power,r247_repsol,,,Installed renewable generation capacity objective,Increasing installed wind and solar renewable generation capacity under the 2024 Annual Budget metric,2024,Report ties the metric to the 2024 Annual Budget but does not disclose the specific budget amount in this snippet.,Report uses installed renewable generation capacity as a decarbonization and sustainability metric; quantified CO2e abatement is not disclosed in this snippet.,11,REPSOL consolidated-statement-non-financial-information-sustainability-information-2024.pdf,"Repsol reports objectives and metrics set out in the CEO's 2024 Annual Variable Remuneration in relation to sustainability. Under Decarbonization and sustainability, the installed renewable generation capacity metric is described as increasing the installed capacity of wind and solar generation in accordance with the provisions of the 2024 Annual Budget. Achievement is calculated against the budgeted increase in renewable generation capacity installed by Repsol in 2024.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0044,review_missing_or_unquantified_cost_evidence,renewable_power,r261_intel,,,Intel Green Bond renewable electricity eligible projects,"Allocating green bond proceeds to eligible renewable electricity projects alongside efficiency, water, circularity, and green-building projects",2022 | 2024 | 2030,"Report discloses cumulative allocation of USD 639 million, approximately 51% of a USD 1.25 billion green bond issued in 2022; the renewable-electricity share is not separately quantified in this snippet.",Report identifies renewable electricity as an eligible green-bond project area and states Intel aims for 100% renewable electricity in operations by 2030; quantified project CO2e abatement is not disclosed in this snippet.,6,INTEL CSR-2024-25-Full-Report.pdf,"Intel reports USD 639 million for green projects in its second Annual Green Bond Report, published in 2024, representing approximately 51% of a USD 1.25 billion green bond issued in 2022. Eligible project areas include pollution prevention and control, water stewardship, energy efficiency, renewable electricity, circular economy and waste management, and green buildings. The report also states Intel aims to achieve 100% renewable electricity in its operations by 2030.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0045,review_missing_or_unquantified_cost_evidence,renewable_power,r241_tdsynnex公司,,,TD SYNNEX renewable energy procurement expansion,Expanding renewable energy procurement and energy efficiency projects across global operations,2022 | 2024 | 2045,Report does not disclose quantified procurement cost or project capex in this snippet.,"Report states Scope 1 and 2 GHG emissions were reduced by nearly 43% over the FY2022 base year, driven in part by renewable energy procurement and energy efficiency projects.",15,TD SYNNEX Corporation FY24 Corporate Citizenship Report.pdf,"TD SYNNEX reports that it reduced Scope 1 and 2 GHG emissions by nearly 43% over its FY2022 base year. The report states this was achieved through a wide range of initiatives across global operations, including expansion of renewable energy procurement and energy efficiency projects, and that the company remains committed to a long-term target of net-zero GHG emissions by 2045.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0046,review_missing_or_unquantified_cost_evidence,renewable_power,r345_raízen公司,,,Raízen distributed solar generation projects,Investing in distributed solar generation projects as part of energy diversification while maintaining biomass-based electricity output,2024 | 2025,Report states investments in distributed solar generation projects; quantified investment amount is not disclosed in this snippet.,Report states biomass-based electricity output remained stable and distributed solar investments support energy diversification; quantified CO2e abatement is not disclosed in this snippet.,22,RAÍZEN-integrated-report-2024-25.pdf,"Raízen reports that sugarcane waste makes mill operations energy self-sufficient and that biomass-based electricity output remained stable despite lower raw material availability. The report states that improvements in boiler efficiency and increased use of sugarcane trash helped mitigate part of the impact, and that Raízen also invested in distributed solar generation projects in line with its broader energy diversification strategy.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0047,review_missing_or_unquantified_cost_evidence,renewable_power,r391_西班牙acs集团,,,ACS sustainable energy project portfolio,"Providing sustainable energy projects including solar parks, power lines, and battery storage to support the electric transition",2024,Report does not disclose quantified project capex in this snippet.,"Report presents solar parks, power lines, battery storage, and sustainable mobility as projects that drive the electric transition toward a green future; quantified CO2e abatement is not disclosed in this snippet.",17,ACS Group Integrated Report 2024.pdf,"ACS reports that its global influence on clients, suppliers, and subcontractors enables it to create sustainable incentives for increased use of green energy and efficient energy-management practices. The report states that by providing sustainable energy projects, including solar parks, power lines, battery storage, and sustainable mobility, ACS drives the electric transition toward a green future.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0048,review_missing_or_unquantified_cost_evidence,renewable_power,r450_sap公司,,,SAP renewable electricity procurement and generation measures,"Using self-generated renewable electricity, certified renewable energy certificates, long-term green electricity contracts, and power purchase agreements",2024,Report mentions investments in certified renewable energy certificates and long-term green electricity contracts but does not disclose quantified cost in this snippet.,Report states renewable energies can be counted toward reductions of greenhouse gas emissions under SAP's market-based approach; quantified CO2e abatement is not disclosed in this snippet.,60,SAP Integrated Report 2024.pdf,"SAP reports that gross greenhouse gas emissions are measured across Scope 1, Scope 2, and relevant Scope 3 emissions as part of its net-zero commitment, applying a market-based approach. The report states that renewable energies, including self-generated renewable electricity, investments in certified renewable energy certificates, long-term green electricity contracts such as power purchase agreements, and renewable electricity purchased by suppliers and customers can be counted toward greenhouse gas emission reductions.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0049,review_missing_or_unquantified_cost_evidence,renewable_power,r489_3m公司,,,3M site conversion to 100% renewable electricity,"Converting sites worldwide to be powered by 100% renewable electricity and seeking solar, wind, and other alternative energy projects",2019 | 2024,Report does not disclose quantified site conversion cost in this snippet.,Report states sites powered by 100% renewable electricity comprised 62.9% of total electricity use at the end of 2024; quantified CO2e abatement is not disclosed in this snippet.,27,3M-2025-Global-Impact-Report.pdf,"3M reports that its energy-footprint management includes evaluating and improving products, manufacturing processes, equipment, and sites. The report states that in 2019 3M began converting sites around the world to be powered by 100% renewable electricity. As of the end of 2024, sites powered by 100% renewable electricity comprised 62.9% of total electricity use, and 3M continues to seek alternative energy sources at sites, including solar, wind, and projects.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0050,review_missing_or_unquantified_cost_evidence,renewable_power,r119_christiandior,,,LIFE 360 renewable and low-carbon energy transition,"Maximizing renewable energy use and targeting exclusive use of renewable or low-carbon energy by production, logistics, administrative, and store sites",2019 | 2024 | 2026 | 2030,Report does not disclose quantified renewable-energy procurement cost in this snippet.,"Report states Scope 1 and 2 GHG emissions were reduced 55.1% versus 2019 and renewable energy reached 71% of the Group energy mix in 2024, with a 100% target for 2026.",91,CHRISTIAN DIOR annual-report-as-of-december-31-2024.pdf,"Christian Dior reports LIFE 360 climate results for 2024. The table states Scope 1 and 2 GHG emissions were reduced 55.1% versus the 2019 baseline, Scope 3 emissions per unit of added value were reduced 32.8%, and the proportion of renewable energy in the Group's energy mix reached 71% in 2024, compared with 63% in 2023, against a 100% target for 2026. The accompanying text describes maximizing renewable energy and targeting exclusive use of renewable or low-carbon energy by production sites, logistics centers, administrative sites, and stores by 2026.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0051,review_missing_or_unquantified_cost_evidence,renewable_power,r262_tjx公司,,,TJX facility solar and renewable-energy program,Installing LED lighting and solar panels in certain facilities and scaling renewable energy sourcing for operations,2017 | 2025 | 2030 | 2040,Report does not disclose quantified cost or capex for the facility solar and renewable-energy measures in this snippet.,Report links the measures to global goals to reduce Scope 1 and 2 GHG emissions by 55% by fiscal 2030 and source 100% renewable energy in operations; quantified project CO2e abatement is not disclosed in this snippet.,3,tjx-2025-global-corporate-responsibility-report.pdf,"TJX reports that it has implemented many environmental programs over the years, including installing LED lighting and adding solar panels in certain facilities, as well as building asset recovery and recycling centers. The report states that its operational environmental initiatives are centered around global goals to reduce Scope 1 and 2 greenhouse gas emissions, scale up sourcing of renewable energy, and divert operational waste from landfill. It also states that by 2030 TJX intends to source 100% renewable energy in operations.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0052,review_missing_or_unquantified_cost_evidence,renewable_power,r357_magnainternational,,,Magna renewable electricity progress program,Building the foundation for the 2025 target of 100% renewable electricity in European operations and tracking renewable energy share,2019 | 2024 | 2025 | 2030,Report does not disclose quantified renewable-electricity procurement cost in this snippet.,Report states Magna continues to build toward a 2025 100% renewable electricity goal in European operations and reports 14.0% of energy consumed as renewable energy in 2024.,6,101227_magna_sustainabilityreport_fy2024_final_cda.pdf,"Magna reports renewable-electricity progress as part of its decarbonization and energy targets. The report states that Magna continues to build a foundation to hit its 2025 target of 100% renewable electricity in European operations and its 2030 science-based targets. Its 2024 energy-management table reports 20,243,182 GJ of aggregate energy consumed and 14.0% of energy consumed as renewable energy.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0053,review_missing_or_unquantified_cost_evidence,renewable_power,r397_xiaomi,,,Xiaomi Supplier Carbon Reduction Program,"Requiring supplier partners to set science-based GHG targets, increase renewable-energy use, and disclose GHG emissions data",2023 | 2030 | 2035 | 2040,Report does not disclose quantified program cost in this snippet.,"Report states Xiaomi worked with 251 direct purchasing suppliers of core products in 2023, supporting validation of GHG data and climate target setting; quantified supplier renewable-energy abatement is not disclosed in this snippet.",40,"Xiaomi 2023 Environmental, Social, and Governance Report.pdf","Xiaomi reports a Supplier Carbon Reduction Program under which supplier partners are required to set science-based GHG emission reduction targets. The program includes criteria for increased utilization of renewable energy and disclosure of GHG emissions data. In 2023, Xiaomi worked closely with 251 direct purchasing suppliers of core products, including component suppliers and manufacturing suppliers, and provided support for validation of GHG emissions data and climate target setting.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0054,review_missing_or_unquantified_cost_evidence,renewable_power,r401_suncorenergy,,,Suncor wind electricity generation metric,Reporting wind electricity generation as part of renewable electricity and fuels production metrics,2019 | 2020 | 2021 | 2022 | 2023,Report does not disclose quantified wind-generation investment cost in this snippet.,"Report discloses wind electricity generation of 100,850 MWh, 98,419 MWh, 96,952 MWh, 114,009 MWh, and 130,660 MWh across the reported time series; quantified CO2e abatement is not disclosed in this snippet.",72,2023_SUNCOR ENERGY_sustainability_report.pdf,"Suncor reports energy production metrics including renewable fuels production, internally consumed and exported generated electricity, and wind electricity generation. The table lists wind electricity generation in MWh across the reported series: 100,850, 98,419, 96,952, 114,009, and 130,660 MWh. The same table reports renewable fuels blended and ethanol production metrics.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0055,review_missing_or_unquantified_cost_evidence,renewable_power,r431_elo集团,,,ELO store solar-panel installation measure,Reducing site carbon footprints through installation of solar panels in stores and related real-estate activity changes,2024,Report does not disclose quantified solar-panel installation cost in this snippet.,Report presents solar-panel installation in stores as a measure to reduce the carbon footprint of sites; quantified CO2e abatement is not disclosed in this snippet.,54,RFA_ELO_2024_EN-1.pdf,"ELO reports adopted or planned changes to strategy or business model in its real-estate activity, including reducing the carbon footprint of sites through installation of solar panels in stores. A related page repeats the measure for sites already open to the public and for new living spaces, alongside other local community actions.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0056,review_missing_or_unquantified_cost_evidence,renewable_power,r082_allianz,,,Allianz own-operations renewable energy and energy-management measures,"Reducing operational footprint through renewable energy, energy efficiency, decarbonized mobility, sustainable IT, lower energy consumption, and renewable-energy targets",2019 | 2024 | 2030,Report does not disclose quantified renewable-energy or energy-efficiency cost in this snippet.,Report states Allianz reduced own-operations GHG emissions per employee by 62% versus the 2019 baseline through lowering energy consumption and meeting renewable-energy targets; quantified project-specific CO2e abatement is not disclosed in this snippet.,74,en-allianz-group-annual-report-2024.pdf,Allianz reports key decarbonization actions including improving energy management across operations and scaling support of renewable energy and low-carbon technologies. The report states that carbon intensity reduction in its proprietary real-estate equity and debt portfolio resulted from increased renewable energy utilization and energy-efficiency improvements. It also states that in own operations Allianz reduced GHG emissions per employee by 62% versus the 2019 baseline through lowering energy consumption and meeting renewable-energy targets.,"Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0057,review_missing_or_unquantified_cost_evidence,electrified_transport,r163_sysco,,,Sysco Riverside EV Hub and global fleet EV deployment,"Deploying an additional 110 EVs across global fleets and completing the Riverside, California EV Hub",2024,Report snippet does not disclose quantified EV or hub cost.,Report snippet states the measure supported Scope 1 and 2 reductions; quantified CO2e abatement is not disclosed in this snippet.,9,Sysco FY24 Sustainability Report.pdf,"PROGRESS: Supported Scope 1 and 2 reductions by deploying an additional 110 EVs across our global fleets, completing our Riverside, California, EV Hub.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0058,review_missing_or_unquantified_cost_evidence,electrified_transport,r329_astrazeneca,,,AstraZeneca global fleet battery-electric vehicle transition,Transitioning the global fleet to battery electric vehicles,2024,Report snippet does not disclose quantified fleet electrification cost.,Report snippet states over 60% of the global fleet was battery electric vehicles; quantified CO2e abatement is not disclosed in this snippet.,116,AstraZeneca_AR_2024.pdf,"In 2024, we reached the significant milestone of over 60% of our global fleet being battery electric vehicles.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0059,review_missing_or_unquantified_cost_evidence,renewable_power,r353_woolworthsgroup,,,Woolworths 100% renewable electricity pathway,Pathway to source 100% renewable electricity by 2025,2025,Report snippet does not disclose quantified renewable-electricity cost.,"Report snippet states direct emissions had been reduced by 22.9% from the F23 baseline, but does not isolate the contribution of renewable electricity.",4,2025_WOOLWORTHS GROUP_Sustainability_Report_Interactive_SPREADS.pdf,"We are committed to aligning with a 1.5°C future, having reduced our direct emissions by 22.9% from our F23 baseline, with a pathway to 100% renewable electricity by 2025 and 75 electric vehicles in our fleet.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0060,review_missing_or_unquantified_cost_evidence,electrified_transport,r353_woolworthsgroup,,,Woolworths fleet electric vehicles,Deploying 75 electric vehicles in the company fleet,2025,Report snippet does not disclose quantified electric-vehicle cost.,"Report snippet states direct emissions had been reduced by 22.9% from the F23 baseline, but does not isolate the contribution of electric vehicles.",4,2025_WOOLWORTHS GROUP_Sustainability_Report_Interactive_SPREADS.pdf,"We are committed to aligning with a 1.5°C future, having reduced our direct emissions by 22.9% from our F23 baseline, with a pathway to 100% renewable electricity by 2025 and 75 electric vehicles in our fleet.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0061,review_missing_or_unquantified_cost_evidence,low_carbon_fuels,r264_riotintogroup,,,Rio Tinto sustainable biofuel supply-chain investment lever,Investing in sustainable biofuel supply chains as part of own-operations decarbonization,2030 | 2050,Report snippet uses investment wording but does not disclose quantified biofuel supply-chain cost.,Report snippet presents the measure alongside own-operations targets of 50% reduction by 2030 and net zero by 2050; project-specific CO2e abatement is not disclosed in this snippet.,44,2024-RIO TINTO GROUP-annual-report.pdf,"Increase renewable power to >90%. Develop low-carbon technologies for minerals and metals processing, refining and smelting. Invest in sustainable biofuel supply chains.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0062,review_missing_or_unquantified_cost_evidence,energy_efficiency,r426_qualcomm,,,Qualcomm global facilities energy-efficiency investments,Cumulative investments in energy efficiency for global facilities,2024,Report snippet identifies cumulative investments but does not disclose quantified investment cost.,Report snippet states annual avoided CO2e emissions from cumulative energy-efficiency investments for global facilities; the visible snippet does not include the numeric avoided-emissions value.,50,2024-qualcomm-corporate-responsibility-report.pdf,Annual avoided emissions of CO2e due to cumulative investments made for energy efficiency for global facilities.,"Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0063,review_missing_or_unquantified_cost_evidence,energy_efficiency,r098_eni,,,"Energy saving projects, mainly upstream projects",Primary energy savings compared to baseline consumption,2024,,Energy-saving projects delivered over 308 ktoe/year primary energy savings and approximately 778 thousand tonnes CO2eq emission reduction.,166,ENI-Annual-Report-2024.pdf,"primary energy savings compared to baseline consumption of over 308 ktoe/year deriving mainly from upstream projects (over 82%), with a benefit in terms of emission reduction of approximately 778 thousand tonnes of CO2eq.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0064,review_missing_or_unquantified_cost_evidence,low_carbon_fuels,r107_itochu,,,SAF Flight Initiative / Certificate of CO2 Reduction Effect by SAF,Purchased certificate of CO2 reduction effect by SAF through All Nippon Airways SAF Flight Initiative,2024,,SAF certificate applied in FYE 2024 with a GHG reduction effect of 50 t-CO2e.,110,ITOCHU-ESG report 2024.pdf,"In FYE 2024, the GHG reduction effect of 50 t-CO2e was included applying ?Certificate of CO2 Reduction Effect by SAF? which we purchased through ?SAF Flight Initiative? offered by All Nippon Airways Co., Ltd.","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
TECH-COST-P0-0065,review_missing_or_unquantified_cost_evidence,energy_efficiency,r048_homedepot,,,Customer GHG reduction through purchase and proper use of energy-saving products,Estimated customer emissions reduction from ENERGY STAR and other energy-saving products,2023 | 2024,,"Estimated customer GHG emissions reduction from energy-saving products, including ENERGY STAR products; snippet states 2.5 million MT CO2e in 2023 for ENERGY STAR.",95,2024_ESG_Report_The_Home_Depot.pdf,"Estimated reduction of customers? GHG emissions through the purchase and proper use of energy-saving products (MT CO2e) (includes ENERGY STAR, 2.5 million MT in 2023).","Keep as review: no explicit monetary amount, no investment/cost wording, or wording says cost is not disclosed/unquantified."
