validation_status,missing_fields,evidence_boundary,technology_id,technology_name_en,company_id,company_name_en,company_name_zh,world500_rank,industry_section_code,industry_section_en,subtype_id,subtype_en,project_name_en,measure_name_en,implementation_stage,timeline_years,cost_or_investment_en,cost_or_investment_review_note_en,cost_evidence_status,abatement_effect_en,evidence_page,source_file,report_title_en,snippet_en
valid_project_evidence,,page_level_project_or_measure_evidence,low_carbon_materials,Low-carbon materials and process changes,r007_apple,APPLE,苹果公司,7,C,Manufacturing,recycled_materials,Recycled and renewable content,Design and materials roadmap,"Using recycled lithium, zinc, rare earth elements, and low-carbon materials in products",implemented in 2024 product design,2024,,,missing_project_cost_or_investment_evidence,Report attributes 6.2M avoided emissions to low-carbon materials in the Apple comprehensive carbon footprint graphic.,13,Apple_Environmental_Progress_Report_2025.pdf,Apple Environmental Progress Report 2025,"We design our products to be less carbon intensive by prioritizing the use of recycled and renewable content and low-carbon materials. Our progress: More than doubled the use of certified recycled lithium and zinc shipped in our products in 2024. iPhone 16 uses more than 95 percent recycled lithium in the battery, a first for Apple."
valid_project_evidence,,page_level_project_or_measure_evidence,low_carbon_materials,Low-carbon materials and process changes,r031_samsungelectronics,SAMSUNG ELECTRONICS,三星电子,31,C,Manufacturing,process_upgrade,Process gas treatment and process upgrade,DS Division process gas treatment expansion,Expanded RCS process gas treatment facilities and high-efficiency RCS catalyst development,expanded installation and roadmap execution,2023 | 2024 | 2030 | 2050,,,missing_project_cost_or_investment_evidence,Report places process gas treatment expansion in the DS Division GHG Emission Reduction Roadmap and states the roadmap aims to achieve net zero Scope 1 and 2 emissions for the DS Division.,20,SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,Samsung Electronics Sustainability Report 2024,"GHG Emission Reduction Roadmap: operate bimonthly Net Zero Committee and Carbon Reduction Committee to establish and execute DS Division GHG reduction action items; expand process gas treatment facility (RCS) installation; reduce LNG boiler usage through expansion of waste heat recovery; develop/apply high efficiency RCS catalyst; expand the utilization of waste heat recovery system; develop innovative technologies for improving process gas treatment efficiency; improve energy efficiency of FAB facilities through cooperation with facility companies; achieve net zero Scope 1, 2 emissions for DS Division."
valid_project_evidence,,page_level_project_or_measure_evidence,low_carbon_materials,Low-carbon materials and process changes,r368_lyondellbasellindustries,LYONDELLBASELL INDUSTRIES,利安德巴塞尔工业公司,368,C,Manufacturing,decarbonization_demand_acceleration,Demand acceleration for zero and low-carbon materials,WBCSD Center for Decarbonization Demand Acceleration founding-member initiative,Collaborating through a strategic two-year initiative to turn market demand indicators into actions accelerating commercial adoption of zero and low-carbon materials,founding-member initiative launched in 2024 with two-year horizon,2024 | 2026,,Report does not disclose quantified cost or investment for this initiative in the snippet.,cost_not_disclosed_or_unquantified_review_note,Report states the initiative is intended to accelerate commercial adoption of zero and low-carbon materials and align standards and certification schemes; quantified CO2e abatement is not disclosed in this snippet.,114,2024-LYONDELLBASELL INDUSTRIES-sustainability-report.pdf,LyondellBasell Sustainability Report 2024,"LyondellBasell reports that in 2024 it became a founding member of WBCSD's Center for Decarbonization Demand Acceleration, launched during New York Climate Week. The report describes the CDDA as a strategic two-year initiative dedicated to turning market demand indicators into tangible actions that accelerate the commercial adoption of zero and low-carbon materials across industries, in collaboration with industry peers, value-chain partners, and organizations such as the Center for Green Market Activation and the Sustainable Procurement Pledge."
valid_project_evidence,,page_level_project_or_measure_evidence,low_carbon_materials,Low-carbon materials and process changes,r387_schneiderelectric,SCHNEIDER ELECTRIC,施耐德电气,387,C,Manufacturing,low_carbon_concrete,CO2-injected low-carbon concrete,CarbonCure low-carbon concrete technology,"Deploying CarbonCure technology to inject CO2 into concrete, creating low-carbon concrete and permanent CO2 storage",technology deployed globally,2024,,,missing_project_cost_or_investment_evidence,Report states the technology creates low-carbon concrete and achieves permanent CO2 storage; quantified abatement is not disclosed in this snippet.,45,2024-SCHNEIDER ELECTRIC-sustainability-report_tcm564-513141.pdf,Schneider Electric Sustainability Report 2024,"Schneider Electric reports that CarbonCure's technology, deployed globally, injects CO2 into concrete to create low-carbon concrete, achieving permanent CO2 storage and demonstrating scalability as a climate solution. The same page also references the Mekong River Delta Water Purifier project and future AVEVA portfolio projects."
valid_project_evidence,,page_level_project_or_measure_evidence,low_carbon_materials,Low-carbon materials and process changes,r391_西班牙acs集团,ACS Group,西班牙ACS,391,E,Construction,low_carbon_procurement_materials,Low-carbon procurement materials,ACS low-carbon procurement lever,"Strengthening sustainable procurement with subcontractors, recycled and low-carbon materials, materials of biological origin, and low-carbon embedded equipment and vehicles",decarbonization lever disclosed for Scope 3 reduction planning,2024,,Report does not disclose quantified procurement cost in this snippet.,cost_not_disclosed_or_unquantified_review_note,Report maps low-carbon procurement measures to GHG Protocol Scope 3 subcategories 3.1 and 3.2; quantified CO2e abatement is not disclosed in this snippet.,75,ACS Group Integrated Report 2024.pdf,ACS Group Integrated Report 2024,"ACS lists low-carbon procurement as a decarbonization lever. Measures include strengthening sustainable procurement practices with subcontractors, recycled and low-carbon materials, materials of biological origin, and low-carbon embedded equipment and vehicles. The table maps these measures to Scope 3 subcategories according to the GHG Protocol, including 3.1 and 3.2."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r001_walmart,WALMART,沃尔玛,1,F,Wholesale and Retail Trade,onsite_solar_wind,"Onsite solar, wind, and storage",Building Onsite Energy Generation,"Investing in onsite solutions such as solar panels, wind turbines, and energy storage systems",investing,2024 | 2030,,Report states many onsite solutions include cost advantages; no quantified cost is disclosed in this snippet.,cost_not_disclosed_or_unquantified_review_note,,29,FY2025-Walmart-ESG-Report.pdf,Walmart ESG Report FY2025,"Building Onsite Energy Generation: We are investing in onsite solutions such as solar panels, wind turbines, and energy storage systems to reduce dependency on external power sources. Many of these solutions include cost advantages as well. Between 2024 and the end of 2030, we aim to enable up to 10 gigawatts (GW) of new clean energy projects."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r002_amazoncom,AMAZON.COM,亚马逊,2,F,Wholesale and Retail Trade,ppa_vppa,Renewable energy projects,Global renewable energy project portfolio,"Renewable energy projects globally, including new projects in 2024",operational and expanded,2024,,,missing_project_cost_or_investment_evidence,,9,2024-amazon-sustainability-report.pdf,Amazon Sustainability Report 2024,"621 Total renewable energy projects globally, including 124 new projects, representing 34 GW of capacity."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r007_apple,APPLE,苹果公司,7,C,Manufacturing,ppa_vppa,Supplier clean energy,Supplier Clean Energy Program,Transitioning the energy used to manufacture Apple products to renewable energy,program launched and continuing,2015 | 2024 | 2030,,,missing_project_cost_or_investment_evidence,Report shows 21.8 million metric tons avoided from supplier clean energy in Apple's comprehensive carbon footprint graphic.,12,Apple_Environmental_Progress_Report_2025.pdf,Apple Environmental Progress Report 2025,"Apple's comprehensive carbon footprint shows avoided emissions including 21.8M avoided Supplier clean energy, alongside supplier energy efficiency, direct emissions abatement, low-carbon materials, and use of renewable electricity."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r023_totalenergies,TOTALENERGIES,道达尔能源公司,23,B,Mining,onsite_solar_wind,Solar power plants with co-located battery storage,Danish Fields and Cottonwood solar power plants,Commissioned solar power plants with co-located battery storage in southeast Texas,commissioned,2024,,,missing_project_cost_or_investment_evidence,,24,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,TotalEnergies Sustainability & Climate 2025 Progress Report,"In 2024, TotalEnergies commissioned Danish Fields (720 MW) and Cottonwood (455 MW), two solar power plants with co-located battery storage in southeast Texas. These new projects are part of a portfolio of more than 8 GW of renewable assets in operation in the country."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r031_samsungelectronics,SAMSUNG ELECTRONICS,三星电子,31,C,Manufacturing,ppa_vppa,Solar PPA and onsite solar,Korea DS Division solar PPA,PPA with SK E&S and Samsung C&T for renewable energy from a 60 MW solar power plant,signed; renewable supply starting in 2025,2023 | 2024 | 2025,,,missing_project_cost_or_investment_evidence,,21,SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,Samsung Electronics Sustainability Report 2024,"The DS Division signed a PPA with SK E&S in Nov. 2023 and with Samsung C&T in Mar. 2024 to supply approximately 76.2 GWh of renewable energy annually from a 60 MW solar power plant for 20 years for a total of 1,466 GWh of renewable energy, starting in 2025. So far, Samsung has installed a total of 2.8 MW of solar power generation facilities and generated 2.8 GWh of energy in 2023 for on-site use."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r033_cignagroup,CIGNA GROUP,信诺集团,33,J,Finance,renewable_electricity_procurement,Renewable electricity procurement and EACs,Renewable electricity sourcing and EAC procurement,"Sourcing renewable electricity, purchasing Energy Attribute Certificates, and exploring long-term renewable procurement agreements including PPAs and onsite renewables",procurement active; long-term agreements under exploration,2022 | 2024 | 2030,,Report states strategic investments in building improvements; no quantified renewable-procurement cost is disclosed in this snippet.,cost_not_disclosed_or_unquantified_review_note,Report states Cigna sourced approximately 52% of global power needs from renewable electricity by the end of 2024 and targets 100% renewable electricity by 2030.,50,2024-corporate-impact-report-CIGNA GROUP.pdf,Cigna Group Corporate Impact Report 2024,"Cigna reports that it is sourcing renewables and purchasing Energy Attribute Certificates (EACs), committed to sourcing 100% renewable electricity by 2030, joined the global RE100 pledge in 2022, and by the end of 2024 sourced approximately 52% of its global power needs from renewable electricity. The report also states it continues to explore long-term renewable energy procurement agreements, including power purchase agreements and onsite renewables where plausible."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r052_phillips66公司,Phillips 66,Phillips 66,52,D,"Electricity, Heat, Gas and Water Production and Supply",onsite_solar_wind,Solar facility supplying renewable power to refinery operations,Rodeo Renewable Energy Complex solar facility,30.2-megawatt solar facility with NextEra Energy Resources subsidiary to power the Rodeo Complex,fully operational,2025,,Report states renewable power solutions reduce operating costs; no quantified cost is disclosed in this snippet.,cost_not_disclosed_or_unquantified_review_note,"Facility is expected to avoid approximately 33,000 metric tons of carbon dioxide emissions a year and reduce the complex's grid power demand by 50%.",14,Phillips_66_Sustainability_and_People_Report_2025.pdf,Phillips 66 Sustainability and People Report 2025,"Increasing Renewable Power: Phillips 66 states that it teamed up with a subsidiary of NextEra Energy Resources LLC to power its Rodeo Complex with a 30.2-megawatt solar facility. The facility is designed to generate approximately 60,000 MWh/year of electricity, reduce the complex's grid power demand by 50%, and is expected to avoid approximately 33,000 metric tons of carbon dioxide emissions a year. The facility became fully operational in 2025."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r082_allianz,ALLIANZ,安联保险集团,82,J,Finance,operations_renewable_energy_and_efficiency,Own-operations renewable energy and efficiency,Allianz own-operations renewable energy and energy-management measures,"Reducing operational footprint through renewable energy, energy efficiency, decarbonized mobility, sustainable IT, lower energy consumption, and renewable-energy targets",2024 progress toward 2030 intermediate targets,2019 | 2024 | 2030,,Report does not disclose quantified renewable-energy or energy-efficiency cost in this snippet.,cost_not_disclosed_or_unquantified_review_note,Report states Allianz reduced own-operations GHG emissions per employee by 62% versus the 2019 baseline through lowering energy consumption and meeting renewable-energy targets; quantified project-specific CO2e abatement is not disclosed in this snippet.,74,en-allianz-group-annual-report-2024.pdf,Allianz Group Annual Report 2024,Allianz reports key decarbonization actions including improving energy management across operations and scaling support of renewable energy and low-carbon technologies. The report states that carbon intensity reduction in its proprietary real-estate equity and debt portfolio resulted from increased renewable energy utilization and energy-efficiency improvements. It also states that in own operations Allianz reduced GHG emissions per employee by 62% versus the 2019 baseline through lowering energy consumption and meeting renewable-energy targets.
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r098_eni,ENI,埃尼石油公司,98,D,"Electricity, Heat, Gas and Water Production and Supply",onsite_solar_wind,Photovoltaic capacity acquisition and offshore wind partnership,Plenitude EDPR photovoltaic acquisition and BlueFloat Energy-Sener offshore wind partnership,Agreement to acquire 0.38 GW of photovoltaic capacity in the US and partnership for offshore wind farms in Spain,agreement and partnership announced,2024,,,missing_project_cost_or_investment_evidence,,18,eni-for-2024-just-transition.pdf,Eni for 2024 Just Transition,Main events: Plenitude signed an agreement with EDPR to acquire 0.38 GW of photovoltaic generation capacity in the US. Eni also reports entry into the BlueFloat Energy-Sener Renewable investments partnership for the development of offshore wind farms in Spain.
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r101_eon,E.ON,意昂集团,101,D,"Electricity, Heat, Gas and Water Production and Supply",solar_home_energy_emobility,"Solar, home energy management, and eMobility","Energy Retail solar, home energy management, and eMobility investment","Offering solar, home energy management, and eMobility solutions to decarbonize energy supply for customers, cities, and municipalities",2024 investment and business-line deployment,2024,"Report states that a large proportion of 2024 investments, totaling EUR 0.5 billion, went to the Energy Retail business division.",,accepted_project_cost_or_investment_evidence,"Report states the business division helps decarbonize energy supply for business customers, cities, and municipalities; quantified CO2e abatement is not disclosed in this snippet.",29,E.ON-GB24-gesamt-EN_final.pdf,E.ON Integrated Annual Report 2024,"E.ON reports that the Energy Retail business division helps decarbonize the energy supply of business customers, cities, and municipalities, with offerings including solar, home energy management, and eMobility. The report states that digitalization is founded on technological standards and a cloud strategy, and that a large proportion of investments in 2024, which totaled EUR 0.5 billion, went to this business division."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r114_royalaholddelhaize,ROYAL AHOLD DELHAIZE,皇家阿霍德德尔海兹集团,114,F,Wholesale and Retail Trade,ppa_vppa,Virtual power purchase agreement for solar power plants,Ahold Delhaize virtual power purchase agreement for five solar power plants,Signed a virtual power purchase agreement supporting financing and construction of five solar power plants,signed,2024,,,missing_project_cost_or_investment_evidence,Report states the VPPA corresponds to approximately 30% of total electricity usage in its European brands.,11,2024_ahold_delhaize_annual_report.pdf,Ahold Delhaize Annual Report 2024,Green power: Ahold Delhaize signed a virtual power purchase agreement to support the financing and construction of five solar power plants. The report states this corresponds to approximately 30% of the total electricity usage in its European brands.
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r117_adm公司,ADM,ADM,117,C,Manufacturing,onsite_solar_wind,Wind turbine project,Brazil wind turbine project,Construction of a wind turbine project in Brazil as part of Scope 1 and 2 footprint reduction projects,constructed / project delivered by 2023 disclosure,2023,,,missing_project_cost_or_investment_evidence,Report states ADM delivered a 14.7% reduction in its Scope 1 and 2 footprint in 2023 from projects including transition from coal to natural gas and construction of a wind turbine project in Brazil.,3,final_archer-daniels-midland-adm_2023-corporate-sustainability-report.pdf,ADM 2023 Corporate Sustainability Report,ADM states that in 2023 it delivered a 14.7% reduction in its Scope 1 and 2 footprint from projects like transitioning facilities from coal to natural gas and construction of a wind turbine project in Brazil.
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r119_christiandior,CHRISTIAN DIOR,迪奥公司,119,C,Manufacturing,renewable_low_carbon_energy_mix_target,Renewable and low-carbon energy mix target,LIFE 360 renewable and low-carbon energy transition,"Maximizing renewable energy use and targeting exclusive use of renewable or low-carbon energy by production, logistics, administrative, and store sites",2024 progress against 2026 LIFE 360 target,2019 | 2024 | 2026 | 2030,,Report does not disclose quantified renewable-energy procurement cost in this snippet.,cost_not_disclosed_or_unquantified_review_note,"Report states Scope 1 and 2 GHG emissions were reduced 55.1% versus 2019 and renewable energy reached 71% of the Group energy mix in 2024, with a 100% target for 2026.",91,CHRISTIAN DIOR annual-report-as-of-december-31-2024.pdf,Christian Dior Annual Report 2024,"Christian Dior reports LIFE 360 climate results for 2024. The table states Scope 1 and 2 GHG emissions were reduced 55.1% versus the 2019 baseline, Scope 3 emissions per unit of added value were reduced 32.8%, and the proportion of renewable energy in the Group's energy mix reached 71% in 2024, compared with 63% in 2023, against a 100% target for 2026. The accompanying text describes maximizing renewable energy and targeting exclusive use of renewable or low-carbon energy by production sites, logistics centers, administrative sites, and stores by 2026."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r120_nippontelegraphandtelephone,NIPPON TELEGRAPH AND TELEPHONE,日本电报电话公司,120,I,"Information Transmission, Software and Information Technology Services",renewable_energy_infrastructure,Renewable energy infrastructure and GX solutions,Green Power Investment and NTT GX Inno,Bringing Green Power Investment Corporation into the Group and launching NTT GX Inno to leverage renewable energy infrastructure,acquisition and solution brand launched,2024,,M&A option and acquisition disclosed; transaction amount is not disclosed in this snippet.,cost_not_disclosed_or_unquantified_review_note,Report states the initiative strengthens solutions that contribute to customers' green transformations; quantified abatement is not disclosed in this snippet.,15,NIPPON TELEGRAPH AND TELEPHONE-integrated_report_24e_p.pdf,Nippon Telegraph and Telephone Integrated Report 2024,"NTT reports that outside the communications business, in the environment and energy field, it brought Green Power Investment Corporation into the Group and is expanding renewable energy sources. It also launched NTT GX Inno, a brand of solutions for green transformation, to leverage renewable energy infrastructure, technology and expertise to strengthen solutions that contribute to customers' green transformations."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r168_torontodominionbank,TORONTO-DOMINION BANK,多伦多道明银行,168,J,Finance,sustainable_finance_renewable_energy,Renewable-energy sustainable finance category,TD Sustainable and Decarbonization Finance eligible renewable-energy category,"Classifying balance-sheet green, social, and sustainability bond purchases and other financing under renewable energy and clean transportation eligible categories",fiscal 2024 sustainable-finance reporting,2024,"Report discloses Environment total USD 11.9 billion, including Renewable Energy USD 2.5 billion and Clean Transportation USD 3.2 billion.",,accepted_project_cost_or_investment_evidence,Report classifies renewable energy and clean transportation as environmental eligible categories; quantified project CO2e abatement is not disclosed in this snippet.,18,2024-TORONTO-DOMINION BANK-sustainability-report-en.pdf,Toronto-Dominion Bank Sustainability Report 2024,"TD Bank reports eligible categories for green, social and sustainability bond purchases and other financing during fiscal 2024. The Environment total is USD 11.9 billion, including Renewable Energy USD 2.5 billion, Clean Transportation USD 3.2 billion, Environment Multi-Sector USD 3.5 billion, and Other Environment USD 2.7 billion."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r208_sumitomomitsuifinancialgroup,SUMITOMO MITSUI FINANCIAL GROUP,日本三井住友金融集团,208,J,Finance,wind_power_transition_finance,Wind power and transmission transition finance,India wind power and power-supply infrastructure transition finance case,Supporting development of wind power facilities and transmission infrastructure in India through transition finance engagement,transition finance case study; deals executed,2025,,Report discloses 46 transition-finance deals executed; individual wind-project financing amount is not disclosed in this snippet.,cost_not_disclosed_or_unquantified_review_note,Report presents wind power and transmission support as renewable-energy expansion and transition finance; quantified project abatement is not disclosed in this snippet.,28,SUMITOMO MITSUI FINANCIAL GROUP sustainability_report_e_2025.pdf,Sumitomo Mitsui Financial Group Sustainability Report 2025,"SMFG's Transition Finance Playbook case studies state that criteria for transition-finance assets are set by region and include India: wind power and power supply infrastructure. The snippet states SMFG is supporting the development of wind power facilities and transmission infrastructure in India, with achievements including 46 deals executed and engagement with 130 companies."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r236_pfizer,PFIZER,辉瑞制药有限公司,236,C,Manufacturing,ppa_vppa,Solar VPPAs,Spain and United States solar VPPAs,VPPAs covering solar projects expected to generate RECs for North America and EU purchased electricity,contracted; coming online in 2025,2025,,,missing_project_cost_or_investment_evidence,,31,Pfizer_2024_Impact_Report_02JUN2025.pdf,Pfizer 2024 Impact Report,"Pfizer invests in no- and low-carbon technologies at its sites and through VPPAs that enable sourcing of renewable energy. VPPAs covering solar projects in Spain and the United States, coming online in 2025, are expected to generate RECs to cover approximately 100% of Pfizer's purchased electricity needs in North America and the EU."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r241_tdsynnex公司,TD Synnex,TD Synnex,241,F,Wholesale and Retail Trade,renewable_energy_procurement_and_efficiency_projects,Renewable energy procurement and efficiency projects,TD SYNNEX renewable energy procurement expansion,Expanding renewable energy procurement and energy efficiency projects across global operations,implemented initiatives contributing to FY2024 Scope 1 and 2 reduction,2022 | 2024 | 2045,,Report does not disclose quantified procurement cost or project capex in this snippet.,cost_not_disclosed_or_unquantified_review_note,"Report states Scope 1 and 2 GHG emissions were reduced by nearly 43% over the FY2022 base year, driven in part by renewable energy procurement and energy efficiency projects.",15,TD SYNNEX Corporation FY24 Corporate Citizenship Report.pdf,TD SYNNEX FY2024 Corporate Citizenship Report,"TD SYNNEX reports that it reduced Scope 1 and 2 GHG emissions by nearly 43% over its FY2022 base year. The report states this was achieved through a wide range of initiatives across global operations, including expansion of renewable energy procurement and energy efficiency projects, and that the company remains committed to a long-term target of net-zero GHG emissions by 2045."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r246_ciscosystems,CISCO SYSTEMS,思科公司,246,C,Manufacturing,renewable_energy_investment_bundle,Renewable-energy investment bundle,Cisco US$39 million decarbonization investment bundle,Investing in renewable energy projects as part of a bundled Scope 1 and 2 reduction plan,planned investment from fiscal 2023 onward,2023,"Approximately US$39 million is disclosed for the combined renewable energy, energy efficiency, and building and fleet electrification project bundle; the snippet does not allocate cost by technology.",,accepted_project_cost_or_investment_evidence,Report snippet states the investment is intended to reduce Scope 1 and 2 emissions and support near-term target progress; quantified CO2e abatement is not disclosed in this snippet.,31,CISCO SYSTEMS purpose-report-2024.pdf,Cisco Purpose Report 2024,"To reduce Scope 1 and 2 emissions and make progress on our near-term target, we plan to invest approximately US$39 million in renewable energy, energy efficiency, and building and fleet electrification projects from fiscal 2023 onward."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r247_repsol,REPSOL,雷普索尔公司,247,D,"Electricity, Heat, Gas and Water Production and Supply",installed_wind_solar_capacity,Installed wind and solar renewable generation capacity,Installed renewable generation capacity objective,Increasing installed wind and solar renewable generation capacity under the 2024 Annual Budget metric,2024 sustainability-linked management objective,2024,,Report ties the metric to the 2024 Annual Budget but does not disclose the specific budget amount in this snippet.,cost_not_disclosed_or_unquantified_review_note,Report uses installed renewable generation capacity as a decarbonization and sustainability metric; quantified CO2e abatement is not disclosed in this snippet.,11,REPSOL consolidated-statement-non-financial-information-sustainability-information-2024.pdf,Repsol Consolidated Statement of Non-Financial Information and Sustainability Information 2024,"Repsol reports objectives and metrics set out in the CEO's 2024 Annual Variable Remuneration in relation to sustainability. Under Decarbonization and sustainability, the installed renewable generation capacity metric is described as increasing the installed capacity of wind and solar generation in accordance with the provisions of the 2024 Annual Budget. Achievement is calculated against the budgeted increase in renewable generation capacity installed by Repsol in 2024."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r261_intel,INTEL,英特尔公司,261,C,Manufacturing,green_bond_renewable_electricity_projects,Green-bond funded renewable electricity projects,Intel Green Bond renewable electricity eligible projects,"Allocating green bond proceeds to eligible renewable electricity projects alongside efficiency, water, circularity, and green-building projects",green bond allocation reported in 2024,2022 | 2024 | 2030,,"Report discloses cumulative allocation of USD 639 million, approximately 51% of a USD 1.25 billion green bond issued in 2022; the renewable-electricity share is not separately quantified in this snippet.",cost_not_disclosed_or_unquantified_review_note,Report identifies renewable electricity as an eligible green-bond project area and states Intel aims for 100% renewable electricity in operations by 2030; quantified project CO2e abatement is not disclosed in this snippet.,6,INTEL CSR-2024-25-Full-Report.pdf,Intel Corporate Responsibility Report 2024-25,"Intel reports USD 639 million for green projects in its second Annual Green Bond Report, published in 2024, representing approximately 51% of a USD 1.25 billion green bond issued in 2022. Eligible project areas include pollution prevention and control, water stewardship, energy efficiency, renewable electricity, circular economy and waste management, and green buildings. The report also states Intel aims to achieve 100% renewable electricity in its operations by 2030."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r262_tjx公司,TJX,TJX,262,F,Wholesale and Retail Trade,facility_solar_and_renewable_energy,Facility solar panels and renewable energy sourcing,TJX facility solar and renewable-energy program,Installing LED lighting and solar panels in certain facilities and scaling renewable energy sourcing for operations,program implemented over multiple years with 2030 renewable-energy target,2017 | 2025 | 2030 | 2040,,Report does not disclose quantified cost or capex for the facility solar and renewable-energy measures in this snippet.,cost_not_disclosed_or_unquantified_review_note,Report links the measures to global goals to reduce Scope 1 and 2 GHG emissions by 55% by fiscal 2030 and source 100% renewable energy in operations; quantified project CO2e abatement is not disclosed in this snippet.,3,tjx-2025-global-corporate-responsibility-report.pdf,TJX 2025 Global Corporate Responsibility Report,"TJX reports that it has implemented many environmental programs over the years, including installing LED lighting and adding solar panels in certain facilities, as well as building asset recovery and recycling centers. The report states that its operational environmental initiatives are centered around global goals to reduce Scope 1 and 2 greenhouse gas emissions, scale up sourcing of renewable energy, and divert operational waste from landfill. It also states that by 2030 TJX intends to source 100% renewable energy in operations."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r264_riotintogroup,RIO TINTO GROUP,力拓集团,264,B,Mining,onsite_solar_wind,Solar farm development,Ngarluma Country 80 MW solar farm,Development of an 80 MW solar farm near Karratha to supply renewable energy to Pilbara operations,progressing development; not yet complete,2024,,,missing_project_cost_or_investment_evidence,Report states the project has potential to reduce natural gas used for generation across Pilbara operations by up to 11% and could reduce emissions by up to 120 kt CO2e when complete.,27,2024-RIO TINTO GROUP-annual-report.pdf,Rio Tinto Annual Report 2024,"Together with the Ngarluma Aboriginal Corporation, Rio Tinto is progressing the development of an 80 MW solar farm on Ngarluma Country, near Karratha, to supply renewable energy to Pilbara operations. When complete, this project has the potential to reduce the amount of natural gas currently used for generation across Pilbara operations by up to 11%, and could reduce Rio Tinto's emissions by up to 120 kt CO2e."
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r264_riotintogroup,RIO TINTO GROUP,力拓集团,264,B,Mining,ppa_vppa,Wind VPPA and PPAs,"Monte Cristo, Overberg, and Khangela renewable electricity agreements",Executed wind VPPA and signed wind PPAs to abate Scope 2 emissions and support Richards Bay Minerals,executed and signed; construction and commissioning continue,2024 | 2025,,,missing_project_cost_or_investment_evidence,Monte Cristo VPPA is described as abating regional Scope 2 emissions; other abatement is tied to renewable electricity developments.,53,2024-RIO TINTO GROUP-annual-report.pdf,Rio Tinto Annual Report 2024,Other renewable electricity developments: commenced construction of solar PV at Gove (10 MW) and Amrun mine (12 MW); executed wind Virtual Power Purchase Agreement (VPPA) (78.5 MW) at Monte Cristo in the US to abate regional Scope 2 emissions; completed construction and commenced operating Diavik diamond mine solar plant (3 MW); commissioned a 5 MW solar plant and commenced construction of Kennecott solar Phase 2 (25 MW); signed a 230 MW wind PPA at Overberg for Richards Bay Minerals and a 140 MW wind PPA at Khangela.
valid_project_evidence,,page_level_project_or_measure_evidence,renewable_power,Renewable power and green electricity procurement,r345_raízen公司,Raízen,Raízen,345,D,"Electricity, Heat, Gas and Water Production and Supply",distributed_solar_generation_projects,Distributed solar generation projects,Raízen distributed solar generation projects,Investing in distributed solar generation projects as part of energy diversification while maintaining biomass-based electricity output,investment disclosed for crop year 2024/25,2024 | 2025,,Report states investments in distributed solar generation projects; quantified investment amount is not disclosed in this snippet.,cost_not_disclosed_or_unquantified_review_note,Report states biomass-based electricity output remained stable and distributed solar investments support energy diversification; quantified CO2e abatement is not disclosed in this snippet.,22,RAÍZEN-integrated-report-2024-25.pdf,Raízen Integrated Report Crop Year 2024/25,"Raízen reports that sugarcane waste makes mill operations energy self-sufficient and that biomass-based electricity output remained stable despite lower raw material availability. The report states that improvements in boiler efficiency and increased use of sugarcane trash helped mitigate part of the impact, and that Raízen also invested in distributed solar generation projects in line with its broader energy diversification strategy."
