source,target,relation,relation_zh,evidence_page
standard_ref:byd__2024__sustainability_report__gri,scope:enterprise_wide_disclosure,relates_to_scope,关联排放范围,
standard_ref:byd__2024__sustainability_report__gri,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:byd__2024__sustainability_report__gri,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:byd__2024__sustainability_report__gri,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:byd__2024__sustainability_report__gri,accounting_principle:materiality,references_accounting_principle,关联核算原则,
standard_ref:byd__2024__sustainability_report__gri,accounting_principle:comparability,references_accounting_principle,关联核算原则,
report:byd__2024__sustainability_report,standard_ref:byd__2024__sustainability_report__iwa_48_2024,documents_standard_reference,记录标准引用事实,153
standard_ref:byd__2024__sustainability_report__iwa_48_2024,standard:iwa_48:2024,references_standard,引用标准,153
standard_ref:byd__2024__sustainability_report__iwa_48_2024,standard_family:net_zero_implementation_guidance,belongs_to_standard_family,属于标准体系,
standard_ref:byd__2024__sustainability_report__iwa_48_2024,standard_role:guideline,has_standard_role,具有标准角色,
standard_ref:byd__2024__sustainability_report__iwa_48_2024,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:byd__2024__sustainability_report__iwa_48_2024,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:byd__2024__sustainability_report__iwa_48_2024,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:byd__2024__sustainability_report__iwa_48_2024,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:byd__2024__sustainability_report__iwa_48_2024,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:byd__2024__sustainability_report__iwa_48_2024,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:byd__2024__sustainability_report__iwa_48_2024,accounting_principle:transition_credibility,references_accounting_principle,关联核算原则,
report:costco__2024__climate_action_plan,standard_ref:costco__2024__climate_action_plan__ghg_protocol,documents_standard_reference,记录标准引用事实,2
standard_ref:costco__2024__climate_action_plan__ghg_protocol,standard:ghg_protocol,references_standard,引用标准,2
standard_ref:costco__2024__climate_action_plan__ghg_protocol,standard_family:ghg_accounting_system,belongs_to_standard_family,属于标准体系,
standard_ref:costco__2024__climate_action_plan__ghg_protocol,standard_role:accounting_standard,has_standard_role,具有标准角色,
standard_ref:costco__2024__climate_action_plan__ghg_protocol,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:costco__2024__climate_action_plan__ghg_protocol,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:costco__2024__climate_action_plan__ghg_protocol,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:costco__2024__climate_action_plan__ghg_protocol,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:costco__2024__climate_action_plan__ghg_protocol,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:costco__2024__climate_action_plan__ghg_protocol,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:costco__2024__climate_action_plan__ghg_protocol,accounting_principle:relevance,references_accounting_principle,关联核算原则,
standard_ref:costco__2024__climate_action_plan__ghg_protocol,accounting_principle:completeness,references_accounting_principle,关联核算原则,
standard_ref:costco__2024__climate_action_plan__ghg_protocol,accounting_principle:consistency,references_accounting_principle,关联核算原则,
standard_ref:costco__2024__climate_action_plan__ghg_protocol,accounting_principle:transparency,references_accounting_principle,关联核算原则,
standard_ref:costco__2024__climate_action_plan__ghg_protocol,accounting_principle:accuracy,references_accounting_principle,关联核算原则,
report:costco__2024__climate_action_plan,standard_ref:costco__2024__climate_action_plan__tcfd,documents_standard_reference,记录标准引用事实,2
standard_ref:costco__2024__climate_action_plan__tcfd,standard:tcfd,references_standard,引用标准,2
standard_ref:costco__2024__climate_action_plan__tcfd,standard_family:climate_disclosure_framework,belongs_to_standard_family,属于标准体系,
standard_ref:costco__2024__climate_action_plan__tcfd,standard_role:disclosure_recommendation,has_standard_role,具有标准角色,
standard_ref:costco__2024__climate_action_plan__tcfd,scope:enterprise_wide_disclosure,relates_to_scope,关联排放范围,
standard_ref:costco__2024__climate_action_plan__tcfd,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:costco__2024__climate_action_plan__tcfd,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:costco__2024__climate_action_plan__tcfd,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:costco__2024__climate_action_plan__tcfd,accounting_principle:materiality,references_accounting_principle,关联核算原则,
standard_ref:costco__2024__climate_action_plan__tcfd,accounting_principle:consistency,references_accounting_principle,关联核算原则,
report:costco__2024__climate_action_plan,standard_ref:costco__2024__climate_action_plan__esrs_csrd,documents_standard_reference,记录标准引用事实,2
standard_ref:costco__2024__climate_action_plan__esrs_csrd,standard:esrs_csrd,references_standard,引用标准,2
standard_ref:costco__2024__climate_action_plan__esrs_csrd,standard_family:eu_sustainability_disclosure_regime,belongs_to_standard_family,属于标准体系,
standard_ref:costco__2024__climate_action_plan__esrs_csrd,standard_role:disclosure_standard,has_standard_role,具有标准角色,
standard_ref:costco__2024__climate_action_plan__esrs_csrd,scope:enterprise_wide_disclosure,relates_to_scope,关联排放范围,
standard_ref:costco__2024__climate_action_plan__esrs_csrd,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:costco__2024__climate_action_plan__esrs_csrd,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:costco__2024__climate_action_plan__esrs_csrd,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:costco__2024__climate_action_plan__esrs_csrd,accounting_principle:double_materiality,references_accounting_principle,关联核算原则,
standard_ref:costco__2024__climate_action_plan__esrs_csrd,accounting_principle:comparability,references_accounting_principle,关联核算原则,
report:geely__2024__sustainability_report,standard_ref:geely__2024__sustainability_report__ghg_protocol,documents_standard_reference,记录标准引用事实,39
standard_ref:geely__2024__sustainability_report__ghg_protocol,standard:ghg_protocol,references_standard,引用标准,39
standard_ref:geely__2024__sustainability_report__ghg_protocol,standard_family:ghg_accounting_system,belongs_to_standard_family,属于标准体系,
standard_ref:geely__2024__sustainability_report__ghg_protocol,standard_role:accounting_standard,has_standard_role,具有标准角色,
standard_ref:geely__2024__sustainability_report__ghg_protocol,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:geely__2024__sustainability_report__ghg_protocol,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:geely__2024__sustainability_report__ghg_protocol,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:geely__2024__sustainability_report__ghg_protocol,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:geely__2024__sustainability_report__ghg_protocol,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:geely__2024__sustainability_report__ghg_protocol,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:geely__2024__sustainability_report__ghg_protocol,accounting_principle:relevance,references_accounting_principle,关联核算原则,
standard_ref:geely__2024__sustainability_report__ghg_protocol,accounting_principle:completeness,references_accounting_principle,关联核算原则,
standard_ref:geely__2024__sustainability_report__ghg_protocol,accounting_principle:consistency,references_accounting_principle,关联核算原则,
standard_ref:geely__2024__sustainability_report__ghg_protocol,accounting_principle:transparency,references_accounting_principle,关联核算原则,
standard_ref:geely__2024__sustainability_report__ghg_protocol,accounting_principle:accuracy,references_accounting_principle,关联核算原则,
report:geely__2024__sustainability_report,standard_ref:geely__2024__sustainability_report__gri,documents_standard_reference,记录标准引用事实,96
standard_ref:geely__2024__sustainability_report__gri,standard:gri,references_standard,引用标准,96
standard_ref:geely__2024__sustainability_report__gri,standard_family:esg_disclosure_framework,belongs_to_standard_family,属于标准体系,
standard_ref:geely__2024__sustainability_report__gri,standard_role:disclosure_standard,has_standard_role,具有标准角色,
standard_ref:geely__2024__sustainability_report__gri,scope:enterprise_wide_disclosure,relates_to_scope,关联排放范围,
standard_ref:geely__2024__sustainability_report__gri,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:geely__2024__sustainability_report__gri,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:geely__2024__sustainability_report__gri,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:geely__2024__sustainability_report__gri,accounting_principle:materiality,references_accounting_principle,关联核算原则,
standard_ref:geely__2024__sustainability_report__gri,accounting_principle:comparability,references_accounting_principle,关联核算原则,
report:geely__2024__sustainability_report,standard_ref:geely__2024__sustainability_report__gb_t_2589_2020,documents_standard_reference,记录标准引用事实,39
standard_ref:geely__2024__sustainability_report__gb_t_2589_2020,standard:gb_t_2589_2020,references_standard,引用标准,39
standard_ref:geely__2024__sustainability_report__gb_t_2589_2020,standard_family:chinese_national_standard_system,belongs_to_standard_family,属于标准体系,
standard_ref:geely__2024__sustainability_report__gb_t_2589_2020,standard_role:measurement_standard,has_standard_role,具有标准角色,
standard_ref:geely__2024__sustainability_report__gb_t_2589_2020,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:geely__2024__sustainability_report__gb_t_2589_2020,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:geely__2024__sustainability_report__gb_t_2589_2020,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:geely__2024__sustainability_report__gb_t_2589_2020,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:geely__2024__sustainability_report__gb_t_2589_2020,accounting_principle:standardized_measurement,references_accounting_principle,关联核算原则,
report:microsoft__2025__environmental_sustainability_report,standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,documents_standard_reference,记录标准引用事实,88
standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,standard:ghg_protocol,references_standard,引用标准,88
standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,standard_family:ghg_accounting_system,belongs_to_standard_family,属于标准体系,
standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,standard_role:accounting_standard,has_standard_role,具有标准角色,
standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,accounting_principle:relevance,references_accounting_principle,关联核算原则,
standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,accounting_principle:completeness,references_accounting_principle,关联核算原则,
standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,accounting_principle:consistency,references_accounting_principle,关联核算原则,
standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,accounting_principle:transparency,references_accounting_principle,关联核算原则,
standard_ref:microsoft__2025__environmental_sustainability_report__ghg_protocol,accounting_principle:accuracy,references_accounting_principle,关联核算原则,
report:microsoft__2025__environmental_sustainability_report,standard_ref:microsoft__2025__environmental_sustainability_report__gri,documents_standard_reference,记录标准引用事实,88
standard_ref:microsoft__2025__environmental_sustainability_report__gri,standard:gri,references_standard,引用标准,88
standard_ref:microsoft__2025__environmental_sustainability_report__gri,standard_family:esg_disclosure_framework,belongs_to_standard_family,属于标准体系,
standard_ref:microsoft__2025__environmental_sustainability_report__gri,standard_role:disclosure_standard,has_standard_role,具有标准角色,
standard_ref:microsoft__2025__environmental_sustainability_report__gri,scope:enterprise_wide_disclosure,relates_to_scope,关联排放范围,
standard_ref:microsoft__2025__environmental_sustainability_report__gri,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:microsoft__2025__environmental_sustainability_report__gri,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:microsoft__2025__environmental_sustainability_report__gri,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:microsoft__2025__environmental_sustainability_report__gri,accounting_principle:materiality,references_accounting_principle,关联核算原则,
standard_ref:microsoft__2025__environmental_sustainability_report__gri,accounting_principle:comparability,references_accounting_principle,关联核算原则,
report:microsoft__2025__environmental_sustainability_report,standard_ref:microsoft__2025__environmental_sustainability_report__tcfd,documents_standard_reference,记录标准引用事实,88
standard_ref:microsoft__2025__environmental_sustainability_report__tcfd,standard:tcfd,references_standard,引用标准,88
standard_ref:microsoft__2025__environmental_sustainability_report__tcfd,standard_family:climate_disclosure_framework,belongs_to_standard_family,属于标准体系,
standard_ref:microsoft__2025__environmental_sustainability_report__tcfd,standard_role:disclosure_recommendation,has_standard_role,具有标准角色,
standard_ref:microsoft__2025__environmental_sustainability_report__tcfd,scope:enterprise_wide_disclosure,relates_to_scope,关联排放范围,
standard_ref:microsoft__2025__environmental_sustainability_report__tcfd,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:microsoft__2025__environmental_sustainability_report__tcfd,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:microsoft__2025__environmental_sustainability_report__tcfd,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:microsoft__2025__environmental_sustainability_report__tcfd,accounting_principle:materiality,references_accounting_principle,关联核算原则,
standard_ref:microsoft__2025__environmental_sustainability_report__tcfd,accounting_principle:consistency,references_accounting_principle,关联核算原则,
report:totalenergies__2025__sustainability_and_climate_progress_report,standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,documents_standard_reference,记录标准引用事实,117
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,standard:ghg_protocol,references_standard,引用标准,117
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,standard_family:ghg_accounting_system,belongs_to_standard_family,属于标准体系,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,standard_role:accounting_standard,has_standard_role,具有标准角色,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,accounting_principle:relevance,references_accounting_principle,关联核算原则,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,accounting_principle:completeness,references_accounting_principle,关联核算原则,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,accounting_principle:consistency,references_accounting_principle,关联核算原则,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,accounting_principle:transparency,references_accounting_principle,关联核算原则,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ghg_protocol,accounting_principle:accuracy,references_accounting_principle,关联核算原则,
report:totalenergies__2025__sustainability_and_climate_progress_report,standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__gri,documents_standard_reference,记录标准引用事实,4
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__gri,standard:gri,references_standard,引用标准,4
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__gri,standard_family:esg_disclosure_framework,belongs_to_standard_family,属于标准体系,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__gri,standard_role:disclosure_standard,has_standard_role,具有标准角色,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__gri,scope:enterprise_wide_disclosure,relates_to_scope,关联排放范围,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__gri,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__gri,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__gri,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__gri,accounting_principle:materiality,references_accounting_principle,关联核算原则,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__gri,accounting_principle:comparability,references_accounting_principle,关联核算原则,
report:totalenergies__2025__sustainability_and_climate_progress_report,standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__esrs_csrd,documents_standard_reference,记录标准引用事实,4
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__esrs_csrd,standard:esrs_csrd,references_standard,引用标准,4
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__esrs_csrd,standard_family:eu_sustainability_disclosure_regime,belongs_to_standard_family,属于标准体系,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__esrs_csrd,standard_role:disclosure_standard,has_standard_role,具有标准角色,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__esrs_csrd,scope:enterprise_wide_disclosure,relates_to_scope,关联排放范围,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__esrs_csrd,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__esrs_csrd,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__esrs_csrd,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__esrs_csrd,accounting_principle:double_materiality,references_accounting_principle,关联核算原则,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__esrs_csrd,accounting_principle:comparability,references_accounting_principle,关联核算原则,
report:totalenergies__2025__sustainability_and_climate_progress_report,standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ipieca,documents_standard_reference,记录标准引用事实,117
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ipieca,standard:ipieca,references_standard,引用标准,117
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ipieca,standard_family:industry_guidance_system,belongs_to_standard_family,属于标准体系,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ipieca,standard_role:reporting_guideline,has_standard_role,具有标准角色,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ipieca,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ipieca,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ipieca,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ipieca,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ipieca,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ipieca,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:totalenergies__2025__sustainability_and_climate_progress_report__ipieca,accounting_principle:sector_comparability,references_accounting_principle,关联核算原则,
report:unitedhealth__2024__sustainability_report,standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,documents_standard_reference,记录标准引用事实,80
standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,standard:ghg_protocol,references_standard,引用标准,80
standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,standard_family:ghg_accounting_system,belongs_to_standard_family,属于标准体系,
standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,standard_role:accounting_standard,has_standard_role,具有标准角色,
standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,accounting_principle:relevance,references_accounting_principle,关联核算原则,
standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,accounting_principle:completeness,references_accounting_principle,关联核算原则,
standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,accounting_principle:consistency,references_accounting_principle,关联核算原则,
standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,accounting_principle:transparency,references_accounting_principle,关联核算原则,
standard_ref:unitedhealth__2024__sustainability_report__ghg_protocol,accounting_principle:accuracy,references_accounting_principle,关联核算原则,
report:unitedhealth__2024__sustainability_report,standard_ref:unitedhealth__2024__sustainability_report__sbti,documents_standard_reference,记录标准引用事实,33
standard_ref:unitedhealth__2024__sustainability_report__sbti,standard:sbti,references_standard,引用标准,33
standard_ref:unitedhealth__2024__sustainability_report__sbti,standard_family:climate_target_governance_system,belongs_to_standard_family,属于标准体系,
standard_ref:unitedhealth__2024__sustainability_report__sbti,standard_role:target_validation_guideline,has_standard_role,具有标准角色,
standard_ref:unitedhealth__2024__sustainability_report__sbti,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:unitedhealth__2024__sustainability_report__sbti,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:unitedhealth__2024__sustainability_report__sbti,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:unitedhealth__2024__sustainability_report__sbti,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:unitedhealth__2024__sustainability_report__sbti,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:unitedhealth__2024__sustainability_report__sbti,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:unitedhealth__2024__sustainability_report__sbti,accounting_principle:science_based_ambition,references_accounting_principle,关联核算原则,
report:unitedhealth__2024__sustainability_report,standard_ref:unitedhealth__2024__sustainability_report__pcaf,documents_standard_reference,记录标准引用事实,35
standard_ref:unitedhealth__2024__sustainability_report__pcaf,standard:pcaf,references_standard,引用标准,35
standard_ref:unitedhealth__2024__sustainability_report__pcaf,standard_family:financed_emissions_accounting_system,belongs_to_standard_family,属于标准体系,
standard_ref:unitedhealth__2024__sustainability_report__pcaf,standard_role:accounting_standard,has_standard_role,具有标准角色,
standard_ref:unitedhealth__2024__sustainability_report__pcaf,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:unitedhealth__2024__sustainability_report__pcaf,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:unitedhealth__2024__sustainability_report__pcaf,accounting_principle:attribution,references_accounting_principle,关联核算原则,
standard_ref:unitedhealth__2024__sustainability_report__pcaf,accounting_principle:data_quality_hierarchy,references_accounting_principle,关联核算原则,
report:volkswagen__2023__sustainability_report,standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,documents_standard_reference,记录标准引用事实,62
standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,standard:ghg_protocol,references_standard,引用标准,62
standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,standard_family:ghg_accounting_system,belongs_to_standard_family,属于标准体系,
standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,standard_role:accounting_standard,has_standard_role,具有标准角色,
standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,accounting_principle:relevance,references_accounting_principle,关联核算原则,
standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,accounting_principle:completeness,references_accounting_principle,关联核算原则,
standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,accounting_principle:consistency,references_accounting_principle,关联核算原则,
standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,accounting_principle:transparency,references_accounting_principle,关联核算原则,
standard_ref:volkswagen__2023__sustainability_report__ghg_protocol,accounting_principle:accuracy,references_accounting_principle,关联核算原则,
report:volkswagen__2023__sustainability_report,standard_ref:volkswagen__2023__sustainability_report__sbti,documents_standard_reference,记录标准引用事实,61
standard_ref:volkswagen__2023__sustainability_report__sbti,standard:sbti,references_standard,引用标准,61
standard_ref:volkswagen__2023__sustainability_report__sbti,standard_family:climate_target_governance_system,belongs_to_standard_family,属于标准体系,
standard_ref:volkswagen__2023__sustainability_report__sbti,standard_role:target_validation_guideline,has_standard_role,具有标准角色,
standard_ref:volkswagen__2023__sustainability_report__sbti,scope:scope_1,relates_to_scope,关联排放范围,
standard_ref:volkswagen__2023__sustainability_report__sbti,scope:scope_2,relates_to_scope,关联排放范围,
standard_ref:volkswagen__2023__sustainability_report__sbti,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:volkswagen__2023__sustainability_report__sbti,emission_type:direct_emissions,relates_to_emission_type,关联排放类型,
standard_ref:volkswagen__2023__sustainability_report__sbti,emission_type:indirect_energy_emissions,relates_to_emission_type,关联排放类型,
standard_ref:volkswagen__2023__sustainability_report__sbti,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:volkswagen__2023__sustainability_report__sbti,accounting_principle:science_based_ambition,references_accounting_principle,关联核算原则,
report:volkswagen__2023__sustainability_report,standard_ref:volkswagen__2023__sustainability_report__iso_14040_14044,documents_standard_reference,记录标准引用事实,61
standard_ref:volkswagen__2023__sustainability_report__iso_14040_14044,standard:iso_14040_14044,references_standard,引用标准,61
standard_ref:volkswagen__2023__sustainability_report__iso_14040_14044,standard_family:iso_life_cycle_assessment_system,belongs_to_standard_family,属于标准体系,
standard_ref:volkswagen__2023__sustainability_report__iso_14040_14044,standard_role:methodology_standard,has_standard_role,具有标准角色,
standard_ref:volkswagen__2023__sustainability_report__iso_14040_14044,scope:scope_3,relates_to_scope,关联排放范围,
standard_ref:volkswagen__2023__sustainability_report__iso_14040_14044,emission_type:other_indirect_emissions,relates_to_emission_type,关联排放类型,
standard_ref:volkswagen__2023__sustainability_report__iso_14040_14044,accounting_principle:life_cycle_perspective,references_accounting_principle,关联核算原则,
