世界500强排名,企业ID,企业名称（中文）,Company Name (EN),国家/地区,行业,二级细分类型,Subtype (EN),优先级,名单下载状态字段,seed匹配状态,候选文件数,best_match_score,近似推荐文件,近似推荐得分,诊断信号,Diagnostic signals (EN),建议处理动作,Recommended action (EN),原始诊断说明,诊断规则
239,r239_chinaenergyengineeringgroup,中国能源建设集团有限公司,CHINA ENERGY ENGINEERING GROUP,中国,工程与建筑,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,46,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 46 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 46 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国能源建设集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
240,r240_dongfengmotor,东风汽车集团有限公司,DONGFENG MOTOR,中国,车辆与零部件,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,7,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024_MAZDA MOTOR_Sustainability_Report.pdf；当前候选池仍有 7 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024_MAZDA MOTOR_Sustainability_Report.pdf; Current candidate pool still contains 7 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“东风汽车集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
243,r243_zhejianghengyigroup,浙江恒逸集团有限公司,ZHEJIANG HENGYI GROUP,中国,化学品,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,Geely-Holding-Group-Sustainability-Report-2024-ZH.pdf,31,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13；review 队列里出现过近似推荐文件：Geely-Holding-Group-Sustainability-Report-2024-ZH.pdf,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13; Review queue contains a higher-scored approximate recommendation: Geely-Holding-Group-Sustainability-Report-2024-ZH.pdf,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“浙江恒逸集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
249,r249_hbisgroup,河钢集团有限公司,HBIS GROUP,中国,金属产品,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“河钢集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
253,r253_chinaelectronicstechnologygroup,中国电子科技集团有限公司,CHINA ELECTRONICS TECHNOLOGY GROUP,中国,航天与防务,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,45,16,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024-ARROW ELECTRONICS-Corporate-Stewardship-and-Impact-Report-1.pdf；当前候选池仍有 45 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024-ARROW ELECTRONICS-Corporate-Stewardship-and-Impact-Report-1.pdf; Current candidate pool still contains 45 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国电子科技集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
265,r265_tsingshanholdinggroup,青山控股集团有限公司,TSINGSHAN HOLDING GROUP,中国,金属产品,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,51,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 51 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 51 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“青山控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
267,r267_coscoshipping,中国远洋海运集团有限公司,COSCO SHIPPING,中国,船务,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,P,unmatched,0,4,,0,名单字段已标注报告下载状态：P,Registry download-status field is populated: P,优先回查原始下载台账/文件转存是否遗漏；再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"First re-check the original download ledger or transfer directory for a missed file; Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国远洋海运集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
277,r277_mideagroup,美的集团股份有限公司,MIDEA GROUP,中国,电子、电气设备,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“美的集团股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
279,r279_chinaunitednetworkcommunications,中国联合网络通信股份有限公司,CHINA UNITED NETWORK COMMUNICATIONS,中国,电信,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_matched,7,16,,0,seed 阶段出现过候选命中：seed_matched，seed 候选文件为 2023 CHARTER COMMUNICATIONS esg-report.pdf；当前候选池仍有 7 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_matched; seed candidate file: 2023 CHARTER COMMUNICATIONS esg-report.pdf; Current candidate pool still contains 7 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国联合网络通信股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
280,r280_libertymutualinsurancegroup,美国利宝互助保险集团,LIBERTY MUTUAL INSURANCE GROUP,美国,财产与意外保险（股份）,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,46,16,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024-MASSACHUSETTS MUTUAL LIFE INSURANCE-sustainabilityreport.pdf；当前候选池仍有 46 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024-MASSACHUSETTS MUTUAL LIFE INSURANCE-sustainabilityreport.pdf; Current candidate pool still contains 46 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“美国利宝互助保险集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
281,r281_bankofnovascotia,加拿大丰业银行,BANK OF NOVA SCOTIA,加拿大,银行：商业储蓄,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,24,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-BANK OF NEW YORK MELLON sustainability-report.pdf；当前候选池仍有 24 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-BANK OF NEW YORK MELLON sustainability-report.pdf; Current candidate pool still contains 24 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“加拿大丰业银行”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
285,r285_shaanxiyanchangpetroleumgroup,陕西延长石油（集团）有限责任公司,SHAANXI YANCHANG PETROLEUM (GROUP),中国,采矿、原油生产,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,43,16,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024_SustainabilityReport-MARATHON PETROLEUM.pdf；当前候选池仍有 43 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024_SustainabilityReport-MARATHON PETROLEUM.pdf; Current candidate pool still contains 43 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“陕西延长石油（集团）有限责任公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
291,r291_greenlandholdinggroup,绿地控股集团股份有限公司,GREENLAND HOLDING GROUP,中国,房地产,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,51,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 51 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 51 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“绿地控股集团股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
292,r292_shanghaipudongdevelopmentbank,上海浦东发展银行股份有限公司,SHANGHAI PUDONG DEVELOPMENT BANK,中国,银行：商业储蓄,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,13,14,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024-LINDE-sustainable-development-report.pdf；当前候选池仍有 13 个近似候选项；当前 best_match_score=14,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024-LINDE-sustainable-development-report.pdf; Current candidate pool still contains 13 approximate candidates; Current best_match_score=14,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“上海浦东发展银行股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
296,r296_kb金融集团,KB金融集团,KB金融集团,韩国,银行：商业储蓄,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,P,unmatched,0,4,,0,名单字段已标注报告下载状态：P,Registry download-status field is populated: P,优先回查原始下载台账/文件转存是否遗漏；再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"First re-check the original download ledger or transfer directory for a missed file; Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“KB金融集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
300,r300_jinchuangroup,金川集团股份有限公司,JINCHUAN GROUP,中国,金属产品,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“金川集团股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
304,r304_capitalonefinancial,第一资本金融公司,CAPITAL ONE FINANCIAL,美国,银行：商业储蓄,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,16,16,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf；当前候选池仍有 16 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf; Current candidate pool still contains 16 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“第一资本金融公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
307,r307_chinanationalbuildingmaterialgroup,中国建材集团有限公司,CHINA NATIONAL BUILDING MATERIAL GROUP,中国,建材、玻璃,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,48,16,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024-MONDELEZ INTERNATIONAL-Snacking-Made-Right-ESG-Report.pdf；当前候选池仍有 48 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024-MONDELEZ INTERNATIONAL-Snacking-Made-Right-ESG-Report.pdf; Current candidate pool still contains 48 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国建材集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
309,r309_chinastateshipbuilding,中国船舶集团有限公司,CHINA STATE SHIPBUILDING,中国,船务,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,13,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024-CHINA VANKE-sustainability-report.pdf；当前候选池仍有 13 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024-CHINA VANKE-sustainability-report.pdf; Current candidate pool still contains 13 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国船舶集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
314,r314_jingyegroup,敬业集团有限公司,JINGYE GROUP,中国,金属产品,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“敬业集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
316,r316_energiebadenwürttemberg,巴登-符腾堡州能源公司,ENERGIE BADEN-WÜRTTEMBERG,德国,公用设施,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,1,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf；当前候选池仍有 1 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf; Current candidate pool still contains 1 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“巴登-符腾堡州能源公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
321,r321_hd现代公司,HD现代公司,HD现代公司,韩国,炼油,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,P,unmatched,0,4,,0,名单字段已标注报告下载状态：P,Registry download-status field is populated: P,优先回查原始下载台账/文件转存是否遗漏；再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"First re-check the original download ledger or transfer directory for a missed file; Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“HD现代公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
325,r325_softbankgroup,软银集团,SOFTBANK GROUP,日本,电信,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“软银集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
330,r330_zhejiangcommunicationsinvestmentgroup,浙江省交通投资集团有限公司,ZHEJIANG COMMUNICATIONS INVESTMENT GROUP,中国,运输及物流,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_matched,42,16,,0,seed 阶段出现过候选命中：seed_matched，seed 候选文件为 2023 CHARTER COMMUNICATIONS esg-report.pdf；当前候选池仍有 42 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_matched; seed candidate file: 2023 CHARTER COMMUNICATIONS esg-report.pdf; Current candidate pool still contains 42 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“浙江省交通投资集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
331,r331_chinapacificinsurancegroup,中国太平洋保险(集团)股份有限公司,CHINA PACIFIC INSURANCE (GROUP),中国,人寿与健康保险（股份）,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,47,16,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024-MASSACHUSETTS MUTUAL LIFE INSURANCE-sustainabilityreport.pdf；当前候选池仍有 47 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024-MASSACHUSETTS MUTUAL LIFE INSURANCE-sustainabilityreport.pdf; Current candidate pool still contains 47 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国太平洋保险(集团)股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
336,r336_chinahuadian,中国华电集团有限公司,CHINA HUADIAN,中国,公用设施,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,4,13,AIA GROUP-Main-ESG-Report_CH.pdf,29,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024-CHINA VANKE-sustainability-report.pdf；当前候选池仍有 4 个近似候选项；当前 best_match_score=13；review 队列里出现过近似推荐文件：AIA GROUP-Main-ESG-Report_CH.pdf,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024-CHINA VANKE-sustainability-report.pdf; Current candidate pool still contains 4 approximate candidates; Current best_match_score=13; Review queue contains a higher-scored approximate recommendation: AIA GROUP-Main-ESG-Report_CH.pdf,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国华电集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
337,r337_créditmutuelgroup,法国国民互助信贷银行集团,CRÉDIT MUTUEL GROUP,法国,多元化金融,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“法国国民互助信贷银行集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
340,r340_susunconstructiongroup,苏商建设集团有限公司,SUSUN CONSTRUCTION GROUP,中国,工程与建筑,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“苏商建设集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
